policy,uncertainty_method,target_coverage,actual_coverage,accepted_rows,hamming_risk,subset_error,micro_f1,macro_f1,five_label_macro_f1
logistic_router,mean_entropy,0.95,0.9494047619047619,3190,0.04487983281086729,0.21097178683385576,0.7779788058929956,0.5834183155111666,0.6667686452800666
logistic_router,mean_entropy,0.9,0.9002976190476191,3025,0.040110192837465565,0.19173553719008263,0.7927107061503417,0.5633533464349587,0.6379287776267123
logistic_router,mean_entropy,0.8,0.8005952380952381,2690,0.0315365551425031,0.15539033457249074,0.8247848537005162,0.4683971290736287,0.5620765548883544
logistic_router,mean_entropy,0.7,0.6994047619047619,2350,0.02347517730496454,0.11872340425531913,0.8610994544691565,0.46695642337806936,0.5603477080536832
logistic_router,mean_entropy,0.6,0.5997023809523809,2015,0.020595533498759304,0.10620347394540941,0.8615897720956088,0.4481235295869442,0.537748235504333
logistic_router,max_entropy,1.0,1.0,3360,0.04861111111111111,0.22559523809523807,0.7705992509363296,0.6597769631014945,0.7117323557217935
logistic_router,max_entropy,0.95,0.9494047619047619,3190,0.044043887147335425,0.20376175548589337,0.7828998197270152,0.6280742932588907,0.7052043034258204
logistic_router,max_entropy,0.9,0.9002976190476191,3025,0.03834710743801653,0.17884297520661152,0.8036117381489842,0.6314352602363673,0.7229397035879886
logistic_router,max_entropy,0.8,0.8005952380952381,2690,0.030483271375464683,0.1427509293680297,0.8341200269723532,0.589790301606662,0.7077483619279945
logistic_router,max_entropy,0.7,0.6994047619047619,2350,0.02304964539007092,0.11148936170212764,0.8672927725602287,0.5826503650879963,0.6991804381055956
logistic_router,max_entropy,0.6,0.5997023809523809,2015,0.018858560794044667,0.09330024813895776,0.8814968814968814,0.43551341766123564,0.5226161011934828
logistic_router,margin,1.0,1.0,3360,0.04861111111111111,0.22559523809523807,0.7705992509363296,0.6597769631014945,0.7117323557217935
logistic_router,margin,0.95,0.9494047619047619,3190,0.04336468129571578,0.20219435736677116,0.7893401015228426,0.6399061693201088,0.7250302603269877
logistic_router,margin,0.9,0.9002976190476191,3025,0.03988980716253444,0.18611570247933884,0.802401746724891,0.6360737838917303,0.729955207336743
logistic_router,margin,0.8,0.8005952380952381,2690,0.03370508054522924,0.15762081784386617,0.8236057068741892,0.5996567018097176,0.7195880421716612
logistic_router,margin,0.7,0.6994047619047619,2350,0.02617021276595745,0.12893617021276593,0.8555772994129159,0.5503609850500829,0.6604331820600995
logistic_router,margin,0.6,0.5997023809523809,2015,0.020512820512820513,0.10372208436724561,0.8779527559055117,0.4682888875933395,0.5619466651120073
