policy,target_call_rate,actual_call_rate,routed_rows,qwen_calls_per_1000,macro_f1,five_label_macro_f1,micro_f1,hamming_loss,subset_accuracy,f1_love,f1_joy,f1_surprise,f1_anger,f1_sadness,f1_fear
m1_threshold_proximity,0.0,0.0,0,0.0,0.5737412252800612,0.6884894703360734,0.754083061129258,0.05228174603174603,0.7598214285714285,0.8401114206128134,0.5737931034482758,0.0,0.8040912667191188,0.6230529595015576,0.6013986013986014
m1_threshold_proximity,0.05,0.05238095238095238,176,52.38095238095238,0.6067640261125914,0.6956843989026773,0.761263353460288,0.05099206349206349,0.7645833333333333,0.8398458998348927,0.5884016973125884,0.16216216216216214,0.8116169544740973,0.6439628482972136,0.5945945945945946
m1_threshold_proximity,0.1,0.10029761904761905,337,100.29761904761905,0.6323332559505755,0.7177742661150496,0.7714418173388966,0.04890873015873016,0.7729166666666667,0.8472906403940886,0.6028571428571429,0.20512820512820512,0.8100078186082876,0.6793650793650794,0.6493506493506493
m1_threshold_proximity,0.15,0.1455357142857143,489,145.5357142857143,0.6321074791664781,0.718528974999774,0.7713956170703576,0.04915674603174603,0.7714285714285715,0.8451928299837046,0.6089466089466089,0.19999999999999998,0.8093385214007782,0.6750788643533123,0.6540880503144655
m1_threshold_proximity,0.2,0.1976190476190476,664,197.61904761904762,0.6299832298581985,0.7187705735042569,0.7713827103875258,0.04945436507936508,0.7672619047619048,0.842502696871629,0.6208869814020028,0.18604651162790697,0.8080495356037152,0.6813880126182965,0.6410256410256411
m1_threshold_proximity,0.3,0.2845238095238095,956,284.5238095238095,0.6601012613471439,0.7228907443858034,0.7729138166894665,0.0494047619047619,0.7666666666666667,0.8392282958199357,0.6226685796269728,0.34615384615384615,0.8110599078341014,0.6792452830188679,0.662251655629139
m1_threshold_proximity,0.5,0.48482142857142857,1629,484.82142857142856,0.6549860392885614,0.7170177299048944,0.7693002257336343,0.050694444444444445,0.7583333333333333,0.8339522546419098,0.6177715091678421,0.3448275862068965,0.8156082631981636,0.66875,0.6490066225165563
m1_threshold_proximity,1.0,1.0,3360,1000.0,0.6578221370100936,0.7105986856242336,0.7645614818120956,0.05233134920634921,0.7458333333333333,0.833948339483395,0.6203059805285118,0.393939393939394,0.8018223234624147,0.6687116564417178,0.6282051282051282
logistic_router,0.0,0.0,0,0.0,0.5737412252800612,0.6884894703360734,0.754083061129258,0.05228174603174603,0.7598214285714285,0.8401114206128134,0.5737931034482758,0.0,0.8040912667191188,0.6230529595015576,0.6013986013986014
logistic_router,0.05,0.0443452380952381,149,44.345238095238095,0.6203889310397764,0.7034410762220906,0.7611033193080878,0.050694444444444445,0.7672619047619048,0.8420473307649972,0.574712643678161,0.20512820512820512,0.8025078369905956,0.6602564102564102,0.6376811594202898
logistic_router,0.1,0.09761904761904762,328,97.61904761904762,0.648730153286868,0.7133599048744742,0.7700960862432623,0.048660714285714286,0.775,0.8452706396938218,0.5894736842105263,0.3255813953488372,0.8068803752931978,0.6818181818181819,0.6433566433566433
logistic_router,0.15,0.15089285714285713,507,150.89285714285714,0.6597769631014945,0.7117323557217935,0.7705992509363296,0.04861111111111111,0.7744047619047619,0.8422198041349294,0.5990783410138248,0.39999999999999997,0.809076682316119,0.6688311688311688,0.6394557823129252
logistic_router,0.2,0.20386904761904762,685,203.86904761904762,0.6535484497652345,0.7087864416050739,0.7707362534948742,0.04880952380952381,0.7732142857142857,0.8414239482200647,0.6099071207430341,0.3773584905660377,0.8094117647058824,0.6688102893890675,0.6143790849673201
logistic_router,0.3,0.30357142857142855,1020,303.57142857142856,0.6614452319203203,0.7196602042303102,0.7747416762342136,0.048660714285714286,0.76875,0.8410419989367358,0.623688155922039,0.37037037037037035,0.813717848791894,0.670846394984326,0.6490066225165563
