iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
2180,0.085,1e-05,0.559,7.321,29245,8.775
2190,0.032,1e-05,0.56,7.845,29385,8.775
2200,0.055,1e-05,0.56,7.389,29517,8.775
2210,0.034,1e-05,0.562,7.423,29649,8.775
2220,0.075,1e-05,0.561,7.514,29783,8.775
2230,0.053,1e-05,0.561,7.511,29917,8.775
2240,0.061,1e-05,0.56,7.615,30053,8.775
2250,0.079,1e-05,0.559,7.381,30185,8.775
2260,0.044,1e-05,0.56,7.677,30322,8.775
2270,0.067,1e-05,0.562,7.537,30456,8.775
2280,0.012,1e-05,0.56,7.612,30592,8.775
2290,0.057,1e-05,0.561,7.63,30728,8.775
2300,0.025,1e-05,0.561,7.399,30860,8.775
2310,0.02,1e-05,0.563,7.767,30998,8.775
2320,0.159,1e-05,0.56,7.172,31126,8.775
2330,0.095,1e-05,0.561,7.402,31258,8.775
2340,0.054,1e-05,0.56,7.508,31392,8.775
2350,0.061,1e-05,0.562,7.31,31522,8.775
2360,0.056,1e-05,0.558,7.698,31660,8.775
2370,0.032,1e-05,0.561,7.628,31796,8.775
2380,0.065,1e-05,0.561,7.515,31930,8.775
2390,0.044,1e-05,0.56,7.509,32064,8.775
2400,0.057,1e-05,0.561,7.683,32201,8.775
2410,0.078,1e-05,0.558,7.471,32335,8.775
2420,0.11,1e-05,0.567,7.535,32468,8.775
2430,0.046,1e-05,0.57,7.696,32603,8.775
2440,0.062,1e-05,0.572,7.783,32739,8.775
2450,0.024,1e-05,0.571,7.88,32877,8.775
2460,0.082,1e-05,0.573,7.617,33010,8.775
2470,0.04,1e-05,0.557,7.463,33144,8.775
2480,0.038,1e-05,0.574,7.803,33280,8.775
2490,0.046,1e-05,0.573,7.678,33414,8.775
2500,0.014,1e-05,0.573,7.792,33550,8.775
2510,0.082,1e-05,0.555,6.989,33676,8.775
2520,0.021,1e-05,0.575,7.933,33814,8.775
2530,0.061,1e-05,0.572,7.604,33947,8.775
2540,0.084,1e-05,0.573,7.62,34080,8.775
2550,0.045,1e-05,0.572,7.889,34218,8.775
2560,0.051,1e-05,0.572,7.67,34352,8.775
2570,0.054,1e-05,0.573,7.446,34482,8.775
2580,0.02,1e-05,0.572,7.781,34618,8.775
2590,0.039,1e-05,0.57,7.644,34752,8.775
2600,0.07,1e-05,0.573,7.675,34886,8.775
2610,0.05,1e-05,0.569,7.743,35022,8.775
2620,0.045,1e-05,0.569,7.679,35157,8.775
2630,0.03,1e-05,0.573,7.91,35295,8.775
2640,0.116,1e-05,0.571,7.536,35427,8.775
2650,0.049,1e-05,0.57,7.865,35565,8.775
2660,0.096,1e-05,0.572,7.316,35693,8.775
2670,0.023,1e-05,0.572,7.782,35829,8.775
2680,0.038,1e-05,0.573,7.792,35965,8.775
2690,0.007,1e-05,0.571,7.997,36105,8.775
2700,0.034,1e-05,0.572,7.432,36235,8.775
2710,0.013,1e-05,0.568,7.841,36373,8.775
2720,0.038,1e-05,0.571,7.765,36509,8.775
2730,0.071,1e-05,0.571,7.764,36645,8.775
2740,0.122,1e-05,0.572,7.838,36782,8.775
2750,0.054,1e-05,0.575,7.935,36920,8.775
2760,0.04,1e-05,0.573,7.799,37056,8.775
2770,0.064,1e-05,0.573,7.451,37186,8.775
2780,0.089,1e-05,0.574,7.579,37318,8.775
2790,0.044,1e-05,0.574,7.687,37452,8.775
2800,0.07,1e-05,0.572,7.785,37588,8.775
2810,0.028,1e-05,0.573,7.679,37722,8.775
2820,0.039,1e-05,0.572,7.601,37855,8.775
2830,0.054,1e-05,0.573,7.681,37989,8.775
2840,0.069,1e-05,0.573,7.672,38123,8.775
2850,0.068,1e-05,0.572,7.664,38257,8.775
2860,0.052,1e-05,0.574,7.807,38393,8.775
2870,0.106,1e-05,0.569,7.51,38525,8.775
2880,0.024,1e-05,0.57,7.755,38661,8.775
2890,0.043,1e-05,0.568,7.613,38795,8.775
2900,0.059,1e-05,0.572,7.894,38933,8.775
2910,0.034,1e-05,0.566,7.419,39064,8.775
2920,0.049,1e-05,0.573,7.678,39198,8.775
2930,0.021,1e-05,0.572,7.773,39334,8.775
2940,0.004,1e-05,0.572,8.005,39474,8.775
2950,0.032,1e-05,0.574,7.806,39610,8.775
2960,0.068,1e-05,0.572,7.773,39746,8.775
2970,0.018,1e-05,0.572,7.784,39882,8.775
2980,0.079,1e-05,0.573,7.794,40018,8.775
2990,0.064,1e-05,0.573,7.797,40154,8.775
3000,0.121,1e-05,0.573,7.56,40286,8.775
3010,0.075,1e-05,0.572,7.659,40420,8.775
3020,0.026,1e-05,0.572,7.78,40556,8.775
3030,0.052,1e-05,0.573,7.914,40694,8.775
3040,0.102,1e-05,0.558,7.082,40821,8.775
3050,0.104,1e-05,0.572,7.375,40950,8.775
3060,0.059,1e-05,0.57,7.523,41082,8.775
3070,0.053,1e-05,0.573,7.68,41216,8.775
3080,0.063,1e-05,0.573,7.559,41348,8.775
3090,0.105,1e-05,0.568,7.501,41480,8.775
3100,0.059,1e-05,0.572,7.95,41619,8.775
3110,0.034,1e-05,0.571,7.886,41757,8.775
3120,0.028,1e-05,0.573,7.787,41893,8.775
3130,0.039,1e-05,0.57,7.522,42025,8.775
3140,0.069,1e-05,0.573,7.733,42160,8.775
3150,0.091,1e-05,0.571,7.417,42290,8.775
3160,0.028,1e-05,0.571,7.884,42428,8.775
3170,0.056,1e-05,0.573,7.45,42558,8.775
3180,0.092,1e-05,0.57,7.529,42690,8.775
3190,0.06,1e-05,0.574,7.918,42828,8.775
3200,0.019,1e-05,0.571,7.883,42966,8.775
3210,0.016,1e-05,0.574,8.03,43106,8.775
3220,0.076,1e-05,0.572,7.32,43234,8.775
3230,0.051,1e-05,0.571,7.65,43368,8.775
3240,0.026,1e-05,0.573,7.786,43504,8.775
3250,0.041,1e-05,0.572,7.663,43638,8.775
3260,0.044,1e-05,0.572,7.669,43772,8.775
3270,0.086,1e-05,0.57,7.693,43907,8.775
3280,0.099,1e-05,0.572,7.327,44035,8.775
3290,0.064,1e-05,0.573,7.563,44167,8.775
3300,0.1,1e-05,0.571,7.646,44301,8.775
3310,0.038,1e-05,0.574,8.042,44441,8.775
3320,0.042,1e-05,0.57,7.692,44576,8.775
3330,0.034,1e-05,0.574,7.92,44714,8.775
3340,0.041,1e-05,0.573,7.569,44846,8.775
3350,0.005,1e-05,0.573,8.022,44986,8.775
3360,0.053,1e-05,0.573,7.452,45116,8.775
3370,0.019,1e-05,0.575,7.937,45254,8.775
3380,0.066,1e-05,0.574,7.57,45386,8.775
3390,0.051,1e-05,0.572,7.608,45519,8.775
3400,0.045,1e-05,0.574,7.571,45651,8.775
3410,0.044,1e-05,0.574,7.918,45789,8.775
3420,0.013,1e-05,0.572,7.783,45925,8.775
3430,0.081,1e-05,0.572,7.321,46053,8.775
3440,0.054,1e-05,0.572,7.61,46186,8.775
3450,0.036,1e-05,0.573,7.564,46318,8.775
3460,0.017,1e-05,0.574,7.578,46450,8.775
3470,0.114,1e-05,0.573,7.617,46583,8.775
3480,0.054,1e-05,0.574,7.918,46721,8.775
3490,0.072,1e-05,0.57,7.298,46849,8.775
3500,0.042,1e-05,0.573,7.791,46985,8.775
3510,0.025,1e-05,0.574,7.808,47121,8.775
3520,0.132,1e-05,0.573,7.445,47251,8.775
3530,0.008,1e-05,0.571,7.876,47389,8.775
3540,0.052,1e-05,0.574,7.689,47523,8.775
3550,0.154,1e-05,0.574,7.636,47656,8.775
3560,0.057,1e-05,0.572,7.665,47790,8.775
3570,0.055,1e-05,0.573,7.856,47927,8.775
3580,0.05,1e-05,0.574,7.697,48061,8.775
3590,0.058,1e-05,0.575,7.471,48191,8.775
3600,0.067,1e-05,0.57,7.587,48324,8.775
3610,0.016,1e-05,0.572,7.899,48462,8.775
3620,0.04,1e-05,0.556,7.448,48596,8.775
3630,0.055,1e-05,0.57,7.633,48730,8.775
3640,0.018,1e-05,0.573,7.68,48864,8.775
3650,0.052,1e-05,0.572,7.781,49000,8.775
3660,0.009,1e-05,0.571,7.537,49132,8.775
3670,0.028,1e-05,0.569,7.739,49268,8.775
3680,0.047,1e-05,0.57,7.748,49404,8.775
3690,0.042,1e-05,0.572,7.889,49542,8.775
3700,0.097,1e-05,0.572,7.44,49672,8.775
3710,0.017,1e-05,0.574,7.694,49806,8.775
3720,0.066,1e-05,0.574,7.575,49938,8.775
3730,0.032,1e-05,0.574,7.695,50072,8.775
3740,0.036,1e-05,0.573,7.903,50210,8.775
3750,0.022,1e-05,0.574,7.691,50344,8.775
3760,0.07,1e-05,0.573,7.677,50478,8.775
3770,0.082,1e-05,0.573,7.56,50610,8.775
3780,0.019,1e-05,0.574,7.925,50748,8.775
3790,0.056,1e-05,0.573,7.793,50884,8.775
3800,0.086,1e-05,0.573,7.503,51015,8.775
3810,0.022,1e-05,0.574,7.697,51149,8.775
3820,0.023,1e-05,0.572,7.887,51287,8.775
3830,0.053,1e-05,0.571,7.657,51421,8.775
3840,0.03,1e-05,0.567,7.596,51555,8.775
3850,0.086,1e-05,0.569,7.401,51685,8.775
3860,0.024,1e-05,0.573,7.672,51819,8.775
3870,0.062,1e-05,0.572,7.548,51951,8.775
3880,0.052,1e-05,0.57,7.755,52087,8.775
3890,0.116,1e-05,0.574,7.639,52220,8.775
3900,0.041,1e-05,0.574,7.573,52352,8.775
3910,0.025,1e-05,0.57,7.584,52485,8.775
3920,0.018,1e-05,0.573,7.565,52617,8.775
3930,0.036,1e-05,0.573,7.907,52755,8.775
3940,0.04,1e-05,0.573,8.021,52895,8.775
3950,0.053,1e-05,0.573,7.907,53033,8.775
3960,0.041,1e-05,0.575,7.593,53165,8.775
3970,0.03,1e-05,0.572,7.773,53301,8.775
3980,0.041,1e-05,0.573,7.68,53435,8.775
3990,0.03,1e-05,0.575,7.814,53571,8.775
4000,0.017,1e-05,0.573,7.904,53709,8.775
4010,0.016,1e-05,0.574,7.805,53845,8.775
4020,0.089,1e-05,0.572,7.442,53975,8.775
4030,0.087,1e-05,0.572,7.778,54111,8.775
4040,0.04,1e-05,0.573,7.443,54241,8.775
4050,0.062,1e-05,0.574,7.46,54371,8.775
4060,0.052,1e-05,0.571,7.539,54503,8.775
4070,0.03,1e-05,0.573,7.799,54639,8.775
4080,0.035,1e-05,0.572,7.773,54775,8.775
4090,0.122,1e-05,0.572,7.205,54901,8.775
4100,0.031,1e-05,0.571,7.542,55033,8.775
4110,0.025,1e-05,0.571,7.766,55169,8.775
4120,0.046,1e-05,0.571,7.646,55303,8.775
4130,0.044,1e-05,0.575,7.708,55437,8.775
4140,0.062,1e-05,0.571,7.649,55571,8.775
4150,0.028,1e-05,0.572,7.666,55705,8.775
4160,0.101,1e-05,0.572,7.556,55837,8.775
4170,0.063,1e-05,0.573,7.74,55972,8.775
4180,0.065,1e-05,0.573,7.913,56110,8.775
4190,0.079,1e-05,0.574,7.575,56242,8.775
4200,0.043,1e-05,0.571,7.652,56376,8.775
4210,0.067,1e-05,0.569,7.508,56508,8.775
4220,0.083,1e-05,0.574,7.233,56634,8.775
4230,0.075,1e-05,0.574,7.92,56772,8.775
4240,0.04,1e-05,0.573,7.446,56902,8.775
4250,0.034,1e-05,0.569,7.628,57036,8.775
4260,0.023,1e-05,0.573,7.786,57172,8.775
4270,0.062,1e-05,0.57,7.752,57308,8.775
4280,0.03,1e-05,0.572,7.78,57444,8.775
4290,0.066,1e-05,0.572,7.545,57576,8.775
4300,0.024,1e-05,0.572,7.326,57704,8.775
4310,0.089,1e-05,0.575,7.817,57840,8.775
4320,0.065,1e-05,0.574,7.689,57974,8.775
4330,0.032,1e-05,0.573,7.798,58110,8.775
4340,0.038,1e-05,0.574,7.811,58246,8.775
4350,0.046,1e-05,0.574,7.86,58383,8.775
4360,0.059,1e-05,0.573,7.791,58519,8.775
4370,0.066,1e-05,0.574,7.573,58651,8.775
4380,0.033,1e-05,0.574,7.812,58787,8.775
4390,0.022,1e-05,0.575,7.818,58923,8.775
4400,0.051,1e-05,0.575,7.814,59059,8.775
4410,0.008,1e-05,0.574,7.915,59197,8.775
4420,0.031,1e-05,0.572,7.778,59333,8.775
4430,0.14,1e-05,0.573,7.559,59465,8.775
4440,0.035,1e-05,0.575,7.593,59597,8.775
4450,0.029,1e-05,0.574,7.755,59732,8.775
4460,0.019,1e-05,0.57,7.757,59868,8.775
4470,0.015,1e-05,0.572,7.775,60004,8.775
4480,0.029,1e-05,0.574,7.467,60134,8.775
4490,0.017,1e-05,0.575,7.821,60270,8.775
4500,0.062,1e-05,0.575,7.588,60402,8.775
4510,0.007,1e-05,0.571,7.886,60540,8.775
4520,0.122,1e-05,0.575,7.359,60668,8.775
4530,0.099,1e-05,0.575,7.529,60799,8.775
4540,0.06,1e-05,0.569,7.63,60933,8.775
4550,0.042,1e-05,0.573,7.619,61066,8.775
4560,0.023,1e-05,0.574,7.688,61200,8.775
4570,0.107,1e-05,0.56,7.556,61335,8.775
4580,0.046,1e-05,0.572,7.785,61471,8.775
4590,0.008,1e-05,0.573,7.907,61609,8.775
4600,0.041,1e-05,0.574,7.695,61743,8.775
4610,0.103,1e-05,0.575,7.476,61873,8.775
4620,0.044,1e-05,0.574,7.753,62008,8.775
4630,0.028,1e-05,0.573,7.624,62141,8.775
4640,0.032,1e-05,0.573,7.902,62279,8.775
4650,0.03,1e-05,0.571,7.767,62415,8.775
4660,0.053,1e-05,0.574,7.574,62547,8.775
4670,0.137,1e-05,0.574,7.235,62673,8.775
4680,0.054,1e-05,0.573,7.677,62807,8.775
4690,0.103,1e-05,0.572,7.663,62941,8.775
4700,0.043,1e-05,0.573,7.558,63073,8.775
4710,0.023,1e-05,0.574,7.58,63205,8.775
4720,0.035,1e-05,0.574,7.571,63337,8.775
4730,0.029,1e-05,0.576,7.6,63469,8.775
4740,0.035,1e-05,0.572,7.489,63600,8.775
4750,0.035,1e-05,0.572,7.67,63734,8.775
4760,0.026,1e-05,0.573,7.911,63872,8.775
4770,0.024,1e-05,0.573,7.682,64006,8.775
4780,0.065,1e-05,0.574,7.687,64140,8.775
4790,0.075,1e-05,0.574,7.464,64270,8.775
4800,0.072,1e-05,0.569,7.113,64395,8.775
4810,0.04,1e-05,0.57,7.638,64529,8.775
4820,0.065,1e-05,0.574,7.583,64661,8.775
4830,0.013,1e-05,0.572,7.785,64797,8.775
4840,0.022,1e-05,0.574,7.804,64933,8.775
4850,0.026,1e-05,0.572,7.897,65071,8.775
4860,0.056,1e-05,0.574,7.69,65205,8.775
4870,0.101,1e-05,0.573,7.385,65334,8.775
4880,0.049,1e-05,0.574,7.578,65466,8.775
4890,0.046,1e-05,0.573,7.679,65600,8.775
4900,0.033,1e-05,0.574,7.575,65732,8.775
4910,0.016,1e-05,0.573,7.684,65866,8.775
4920,0.016,1e-05,0.571,7.771,66002,8.775
4930,0.051,1e-05,0.571,7.647,66136,8.775
4940,0.064,1e-05,0.569,7.683,66271,8.775
4950,0.036,1e-05,0.574,7.575,66403,8.775
4960,0.109,1e-05,0.574,7.227,66529,8.775
4970,0.04,1e-05,0.573,7.626,66662,8.775
4980,0.058,1e-05,0.573,7.444,66792,8.775
4990,0.109,1e-05,0.574,7.577,66924,8.775
5000,0.025,1e-05,0.575,7.707,67058,8.775
5010,0.047,1e-05,0.574,7.463,67188,8.775
5020,0.081,1e-05,0.571,7.539,67320,8.775
5030,0.048,1e-05,0.574,7.578,67452,8.775
5040,0.058,1e-05,0.571,7.828,67589,8.775
5050,0.044,1e-05,0.575,7.585,67721,8.775
5060,0.052,1e-05,0.573,7.567,67853,8.775
5070,0.009,1e-05,0.572,7.888,67991,8.775
5080,0.031,1e-05,0.571,7.931,68130,8.775
5090,0.047,1e-05,0.573,7.677,68264,8.775
5100,0.046,1e-05,0.573,7.788,68400,8.775
5110,0.012,1e-05,0.573,7.905,68538,8.775
5120,0.09,1e-05,0.573,7.447,68668,8.775
5130,0.047,1e-05,0.573,7.673,68802,8.775
5140,0.032,1e-05,0.574,7.691,68936,8.775
5150,0.069,1e-05,0.574,7.459,69066,8.775
5160,0.041,1e-05,0.574,7.57,69198,8.775
5170,0.014,1e-05,0.573,7.794,69334,8.775
