family,target_coverage,actual_coverage,accepted_rows,metric,mean,p2_5,p5,p50,p95,p97_5
m1,0.6,0.5997023809523809,2015,hamming_risk,0.05218279569892473,0.04953680727874276,0.04979321753515302,0.05223325062034739,0.054507857733664185,0.054551282051282055
m1,0.6,0.5997023809523809,2015,macro_f1,0.5751672717421453,0.5608230121777426,0.5620395270906459,0.5755268020549129,0.5865704788843087,0.5906928635290138
m1,0.6,0.5997023809523809,2015,five_label_macro_f1,0.6902007260905745,0.6729876146132909,0.674447432508775,0.6906321624658955,0.7038845746611704,0.7088314362348166
m3,1.0,1.0,3360,hamming_risk,0.05233134920634918,0.05233134920634921,0.05233134920634921,0.05233134920634921,0.05233134920634921,0.05233134920634921
m3,1.0,1.0,3360,macro_f1,0.6576332908780209,0.6576332908780207,0.6576332908780207,0.6576332908780207,0.6576332908780207,0.6576332908780207
m3,1.0,1.0,3360,five_label_macro_f1,0.7103720702657459,0.710372070265746,0.710372070265746,0.710372070265746,0.710372070265746,0.710372070265746
m3,0.95,0.9494047619047619,3190,hamming_risk,0.05240595611285266,0.05185344827586207,0.05188087774294671,0.0524294670846395,0.052980668756530826,0.05305773249738767
m3,0.95,0.9494047619047619,3190,macro_f1,0.6578757504698042,0.6499119913840496,0.6511646166117799,0.6583188601623855,0.6640330190096227,0.6642835649555321
m3,0.95,0.9494047619047619,3190,five_label_macro_f1,0.7105145421020184,0.7051637772761243,0.7057706532060254,0.710477052239273,0.715589206655598,0.7162229963669668
m3,0.9,0.9002976190476191,3025,hamming_risk,0.05228044077134987,0.05109504132231405,0.05134435261707989,0.05228650137741047,0.05334159779614325,0.053582644628099176
m3,0.9,0.9002976190476191,3025,macro_f1,0.6575112657851055,0.6459207137906515,0.6470304957001324,0.657932878827441,0.6662500048808888,0.6682420239325477
m3,0.9,0.9002976190476191,3025,five_label_macro_f1,0.7105807548808619,0.6976853470907339,0.70136451480871,0.7106934267089196,0.717374398379196,0.7185202824155429
m3,0.8,0.8005952380952381,2690,hamming_risk,0.05250681536555143,0.05066914498141264,0.051109045848822796,0.052540272614622054,0.0537825278810409,0.05403345724907063
m3,0.8,0.8005952380952381,2690,macro_f1,0.6564157570479375,0.6429510615380704,0.6444420482308891,0.656178455992596,0.6693542454547968,0.6706040700252419
m3,0.8,0.8005952380952381,2690,five_label_macro_f1,0.709718626052139,0.7000941637972076,0.7012762651206955,0.7095499833602018,0.7185045339483341,0.7210692139651831
m3,0.7,0.6994047619047619,2350,hamming_risk,0.0522241134751773,0.04967198581560284,0.05,0.05226950354609929,0.05397872340425532,0.05440070921985816
m3,0.7,0.6994047619047619,2350,macro_f1,0.6556170069939798,0.6321654186146157,0.6384811954336307,0.65655346344073,0.6718746205131778,0.6736803973898576
m3,0.7,0.6994047619047619,2350,five_label_macro_f1,0.7104914630580396,0.6927678390902735,0.6963495281391124,0.7112584790080867,0.7236692834573306,0.7261589202757475
m3,0.6,0.5997023809523809,2015,hamming_risk,0.05227047146401986,0.04953680727874276,0.05010752688172043,0.052191894127378,0.05451612903225806,0.05496484698097601
m3,0.6,0.5997023809523809,2015,macro_f1,0.6590078386323144,0.6358020047483613,0.6376248380532905,0.6588346534606213,0.6803073063407218,0.6820725269649295
m3,0.6,0.5997023809523809,2015,five_label_macro_f1,0.71191952518612,0.6909029327666605,0.6962853543911355,0.7122669003554882,0.7261324634566548,0.727009877480665
