policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
m1_threshold_proximity,margin,0.9,surprise,31,23,0.7419354838709677
m1_threshold_proximity,margin,0.9,anger,618,588,0.9514563106796117
m1_threshold_proximity,margin,0.9,sadness,161,139,0.8633540372670807
m1_threshold_proximity,margin,0.9,fear,74,54,0.7297297297297297
m1_threshold_proximity,margin,0.8,love,854,678,0.7939110070257611
m1_threshold_proximity,margin,0.8,joy,343,191,0.5568513119533528
m1_threshold_proximity,margin,0.8,surprise,31,15,0.4838709677419355
m1_threshold_proximity,margin,0.8,anger,618,556,0.8996763754045307
m1_threshold_proximity,margin,0.8,sadness,161,105,0.6521739130434783
m1_threshold_proximity,margin,0.8,fear,74,31,0.4189189189189189
m1_threshold_proximity,margin,0.7,love,854,588,0.6885245901639344
m1_threshold_proximity,margin,0.7,joy,343,114,0.3323615160349854
m1_threshold_proximity,margin,0.7,surprise,31,12,0.3870967741935484
m1_threshold_proximity,margin,0.7,anger,618,522,0.8446601941747572
m1_threshold_proximity,margin,0.7,sadness,161,56,0.34782608695652173
m1_threshold_proximity,margin,0.7,fear,74,18,0.24324324324324326
m1_threshold_proximity,margin,0.6,love,854,459,0.5374707259953162
m1_threshold_proximity,margin,0.6,joy,343,63,0.1836734693877551
m1_threshold_proximity,margin,0.6,surprise,31,9,0.2903225806451613
m1_threshold_proximity,margin,0.6,anger,618,485,0.7847896440129449
m1_threshold_proximity,margin,0.6,sadness,161,37,0.22981366459627328
m1_threshold_proximity,margin,0.6,fear,74,11,0.14864864864864866
logistic_router,mean_entropy,1.0,love,854,854,1.0
logistic_router,mean_entropy,1.0,joy,343,343,1.0
logistic_router,mean_entropy,1.0,surprise,31,31,1.0
logistic_router,mean_entropy,1.0,anger,618,618,1.0
logistic_router,mean_entropy,1.0,sadness,161,161,1.0
logistic_router,mean_entropy,1.0,fear,74,74,1.0
logistic_router,mean_entropy,0.95,love,854,834,0.9765807962529274
logistic_router,mean_entropy,0.95,joy,343,305,0.8892128279883382
logistic_router,mean_entropy,0.95,surprise,31,22,0.7096774193548387
logistic_router,mean_entropy,0.95,anger,618,608,0.9838187702265372
logistic_router,mean_entropy,0.95,sadness,161,130,0.8074534161490683
logistic_router,mean_entropy,0.95,fear,74,31,0.4189189189189189
logistic_router,mean_entropy,0.9,love,854,798,0.9344262295081968
logistic_router,mean_entropy,0.9,joy,343,254,0.7405247813411079
logistic_router,mean_entropy,0.9,surprise,31,19,0.6129032258064516
