policy,uncertainty_method,target_coverage,actual_coverage,accepted_rows,hamming_risk,subset_error,micro_f1,macro_f1,five_label_macro_f1
m1_max_entropy,margin,0.7,0.6994047619047619,2350,0.027872340425531914,0.13574468085106384,0.8520888219796763,0.5745194236810317,0.6894233084172381
m1_max_entropy,margin,0.6,0.5997023809523809,2015,0.023076923076923078,0.1136476426799008,0.870893105043961,0.49941461840998563,0.5992975420919827
m1_threshold_proximity,mean_entropy,1.0,1.0,3360,0.0496031746031746,0.23482142857142863,0.7678737233054781,0.6251912695055385,0.7177970909742137
m1_threshold_proximity,mean_entropy,0.95,0.9494047619047619,3190,0.045663531870428424,0.21755485893416926,0.7787341772151898,0.5776504774839063,0.6931805729806875
m1_threshold_proximity,mean_entropy,0.9,0.9002976190476191,3025,0.04143250688705234,0.19768595041322312,0.7909949972206781,0.5610242262033976,0.6732290714440772
m1_threshold_proximity,mean_entropy,0.8,0.8005952380952381,2690,0.0338909541511772,0.16356877323420072,0.8177274241919361,0.452305429100269,0.5427665149203228
m1_threshold_proximity,mean_entropy,0.7,0.6994047619047619,2350,0.026312056737588654,0.12468085106382976,0.851063829787234,0.3724702265168216,0.44696427182018594
m1_threshold_proximity,mean_entropy,0.6,0.5997023809523809,2015,0.0228287841191067,0.11017369727047144,0.8559498956158663,0.3829470428524173,0.4595364514229008
m1_threshold_proximity,max_entropy,1.0,1.0,3360,0.0496031746031746,0.23482142857142863,0.7678737233054781,0.6251912695055385,0.7177970909742137
m1_threshold_proximity,max_entropy,0.95,0.9494047619047619,3190,0.0438871473354232,0.20815047021943578,0.7861507128309572,0.6275605395260708,0.7254864405347333
m1_threshold_proximity,max_entropy,0.9,0.9002976190476191,3025,0.03928374655647383,0.18611570247933884,0.8017792604948568,0.6196641186830775,0.7287821276048781
m1_threshold_proximity,max_entropy,0.8,0.8005952380952381,2690,0.031226765799256505,0.14721189591078065,0.834862385321101,0.58691852670013,0.704302232040156
m1_threshold_proximity,max_entropy,0.7,0.6994047619047619,2350,0.02524822695035461,0.1165957446808511,0.8614785992217899,0.5284807958132413,0.6341769549758894
m1_threshold_proximity,max_entropy,0.6,0.5997023809523809,2015,0.019602977667493797,0.0928039702233251,0.8854519091348478,0.38657474704079536,0.4638896964489544
m1_threshold_proximity,margin,1.0,1.0,3360,0.0496031746031746,0.23482142857142863,0.7678737233054781,0.6251912695055385,0.7177970909742137
m1_threshold_proximity,margin,0.95,0.9494047619047619,3190,0.04493207941483804,0.2141065830721003,0.7853220169745382,0.6114777402413273,0.7337732882895928
m1_threshold_proximity,margin,0.9,0.9002976190476191,3025,0.04132231404958678,0.1970247933884297,0.7994652406417113,0.6184100422345737,0.7420920506814885
m1_threshold_proximity,margin,0.8,0.8005952380952381,2690,0.03574969021065676,0.16951672862453526,0.8216383307573416,0.616943371554578,0.7403320458654936
m1_threshold_proximity,margin,0.7,0.6994047619047619,2350,0.02950354609929078,0.14510638297872336,0.8453531598513011,0.5950684610336551,0.7140821532403862
m1_threshold_proximity,margin,0.6,0.5997023809523809,2015,0.025227460711331678,0.12655086848635233,0.8602840128263857,0.5358022854959937,0.6429627425951925
logistic_router,mean_entropy,1.0,1.0,3360,0.0466765873015873,0.22023809523809523,0.774502755811167,0.6390872920933557,0.7247994873541319
logistic_router,mean_entropy,0.95,0.9494047619047619,3190,0.043051201671891325,0.20376175548589337,0.7851929092805006,0.5352042270151124,0.6422450724181348
logistic_router,mean_entropy,0.9,0.9002976190476191,3025,0.039614325068870526,0.1890909090909091,0.7949814656401483,0.4917711230807213,0.5901253476968655
logistic_router,mean_entropy,0.8,0.8005952380952381,2690,0.03265179677819083,0.15873605947955394,0.8214164689935615,0.38392030247368475,0.46070436296842165
logistic_router,mean_entropy,0.7,0.6994047619047619,2350,0.02652482269503546,0.12510638297872345,0.8502802241793435,0.35301868551513543,0.4236224226181625
logistic_router,mean_entropy,0.6,0.5997023809523809,2015,0.02357320099255583,0.11265508684863523,0.8522550544323485,0.3484686367357084,0.41816236408285007
logistic_router,max_entropy,1.0,1.0,3360,0.0466765873015873,0.22023809523809523,0.774502755811167,0.6390872920933557,0.7247994873541319
logistic_router,max_entropy,0.95,0.9494047619047619,3190,0.041588296760710554,0.19749216300940442,0.7906365071015257,0.626331595160282,0.724931247525672
logistic_router,max_entropy,0.9,0.9002976190476191,3025,0.03741046831955923,0.17884297520661152,0.805722460658083,0.6078168813358246,0.7145654427881748
logistic_router,max_entropy,0.8,0.8005952380952381,2690,0.03141263940520446,0.1479553903345725,0.8346918813172481,0.5559251021756701,0.6671101226108042
logistic_router,max_entropy,0.7,0.6994047619047619,2350,0.02574468085106383,0.11829787234042555,0.8594657375145179,0.4585702647244842,0.550284317669381
logistic_router,max_entropy,0.6,0.5997023809523809,2015,0.01943755169561621,0.0928039702233251,0.8863086598935654,0.35066064052762785,0.42079276863315346
logistic_router,margin,1.0,1.0,3360,0.0466765873015873,0.22023809523809523,0.774502755811167,0.6390872920933557,0.7247994873541319
logistic_router,margin,0.95,0.9494047619047619,3190,0.04221525600835946,0.19937304075235107,0.7923946557040082,0.6346696872110092,0.7373612004107869
logistic_router,margin,0.9,0.9002976190476191,3025,0.038732782369146006,0.1828099173553719,0.8081855388813097,0.626256245823385,0.751507494988062
logistic_router,margin,0.8,0.8005952380952381,2690,0.0328996282527881,0.15501858736059482,0.8318023439974659,0.6154971528289435,0.7385965833947321
logistic_router,margin,0.7,0.6994047619047619,2350,0.02794326241134752,0.13489361702127656,0.8514328808446455,0.5493055022043599,0.659166602645232
logistic_router,margin,0.6,0.5997023809523809,2015,0.022994210090984284,0.11215880893300245,0.8715341959334565,0.43871217764108034,0.5264546131692964
