policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
m1_threshold_proximity,margin,0.8,love,854,685,0.8021077283372365
m1_threshold_proximity,margin,0.8,joy,343,190,0.5539358600583091
m1_threshold_proximity,margin,0.8,surprise,31,22,0.7096774193548387
m1_threshold_proximity,margin,0.8,anger,618,543,0.8786407766990292
m1_threshold_proximity,margin,0.8,sadness,161,100,0.6211180124223602
m1_threshold_proximity,margin,0.8,fear,74,27,0.36486486486486486
m1_threshold_proximity,margin,0.7,love,854,606,0.7096018735362998
m1_threshold_proximity,margin,0.7,joy,343,127,0.37026239067055394
m1_threshold_proximity,margin,0.7,surprise,31,17,0.5483870967741935
m1_threshold_proximity,margin,0.7,anger,618,506,0.8187702265372169
m1_threshold_proximity,margin,0.7,sadness,161,40,0.2484472049689441
m1_threshold_proximity,margin,0.7,fear,74,8,0.10810810810810811
m1_threshold_proximity,margin,0.6,love,854,476,0.5573770491803278
m1_threshold_proximity,margin,0.6,joy,343,66,0.1924198250728863
m1_threshold_proximity,margin,0.6,surprise,31,12,0.3870967741935484
m1_threshold_proximity,margin,0.6,anger,618,453,0.7330097087378641
m1_threshold_proximity,margin,0.6,sadness,161,16,0.09937888198757763
m1_threshold_proximity,margin,0.6,fear,74,4,0.05405405405405406
logistic_router,mean_entropy,1.0,love,854,854,1.0
logistic_router,mean_entropy,1.0,joy,343,343,1.0
logistic_router,mean_entropy,1.0,surprise,31,31,1.0
logistic_router,mean_entropy,1.0,anger,618,618,1.0
logistic_router,mean_entropy,1.0,sadness,161,161,1.0
logistic_router,mean_entropy,1.0,fear,74,74,1.0
logistic_router,mean_entropy,0.95,love,854,834,0.9765807962529274
logistic_router,mean_entropy,0.95,joy,343,315,0.9183673469387755
logistic_router,mean_entropy,0.95,surprise,31,25,0.8064516129032258
logistic_router,mean_entropy,0.95,anger,618,604,0.9773462783171522
logistic_router,mean_entropy,0.95,sadness,161,113,0.7018633540372671
logistic_router,mean_entropy,0.95,fear,74,31,0.4189189189189189
logistic_router,mean_entropy,0.9,love,854,798,0.9344262295081968
logistic_router,mean_entropy,0.9,joy,343,245,0.7142857142857143
logistic_router,mean_entropy,0.9,surprise,31,22,0.7096774193548387
logistic_router,mean_entropy,0.9,anger,618,595,0.9627831715210357
logistic_router,mean_entropy,0.9,sadness,161,76,0.4720496894409938
logistic_router,mean_entropy,0.9,fear,74,27,0.36486486486486486
logistic_router,mean_entropy,0.8,love,854,712,0.8337236533957846
logistic_router,mean_entropy,0.8,joy,343,121,0.35276967930029157
logistic_router,mean_entropy,0.8,surprise,31,17,0.5483870967741935
logistic_router,mean_entropy,0.8,anger,618,563,0.9110032362459547
