policy,target_call_rate,matched_policy_actual_call_rate,random_actual_call_rate_mean,random_actual_call_rate_min,random_actual_call_rate_max,macro_f1_mean,macro_f1_p05,macro_f1_p50,macro_f1_p95,five_label_macro_f1_mean,five_label_macro_f1_p05,five_label_macro_f1_p50,five_label_macro_f1_p95,hamming_loss_mean,hamming_loss_p05,hamming_loss_p50,hamming_loss_p95
m1_threshold_proximity,0.1,0.10357142857142858,0.10357142857142854,0.10357142857142858,0.10357142857142858,0.58512432435957,0.576486153273048,0.5829239079176999,0.5968172947427551,0.6977202676628563,0.6917833839276576,0.697260388962104,0.7056011567846598,0.05160714285714286,0.05088789682539682,0.05163690476190476,0.05243055555555556
m1_threshold_proximity,0.15,0.15357142857142858,0.15357142857142855,0.15357142857142858,0.15357142857142858,0.5883338771627116,0.5752195138424288,0.5879386091462373,0.6021068247057334,0.6985728642071716,0.6895641419831133,0.698225861208405,0.7074244469510277,0.05199702380952381,0.05099206349206349,0.052008928571428574,0.05278521825396825
m1_threshold_proximity,0.2,0.2011904761904762,0.2011904761904762,0.2011904761904762,0.2011904761904762,0.5892327902579274,0.576905242811535,0.5899621693563668,0.6023498800016391,0.6973208070142068,0.6884671927579104,0.6979135971163319,0.7059762202507278,0.05255357142857143,0.05133680555555555,0.052529761904761905,0.05367063492063492
m1_threshold_proximity,0.3,0.2675595238095238,0.26755952380952375,0.2675595238095238,0.2675595238095238,0.5919387739660416,0.5801571385715848,0.5916249653645482,0.6055467878994887,0.6988909290648264,0.6886066359055508,0.6985755628601374,0.708498541151379,0.05280853174603174,0.05173363095238095,0.052876984126984126,0.053777281746031746
m1_threshold_proximity,0.5,0.45416666666666666,0.45416666666666666,0.45416666666666666,0.45416666666666666,0.5984588267611208,0.5877983862413528,0.599649071926619,0.608706383427329,0.6995253401616225,0.6919196075703844,0.6993129514715394,0.7079820663019397,0.054035218253968245,0.05292410714285714,0.054117063492063494,0.055014880952380954
m1_threshold_proximity,1.0,1.0,1.0,1.0,1.0,0.5997288682183076,0.5997288682183076,0.5997288682183076,0.5997288682183076,0.6980530202403479,0.6980530202403475,0.6980530202403475,0.6980530202403475,0.06001984126984126,0.06001984126984127,0.06001984126984127,0.06001984126984127
logistic_router,0.0,0.0,0.0,0.0,0.0,0.5810240587294888,0.5810240587294887,0.5810240587294887,0.5810240587294887,0.6972288704753866,0.6972288704753865,0.6972288704753865,0.6972288704753865,0.050694444444444466,0.050694444444444445,0.050694444444444445,0.050694444444444445
logistic_router,0.05,0.04404761904761905,0.04404761904761906,0.04404761904761905,0.04404761904761905,0.5833054433871045,0.5788212083151104,0.5822041953711818,0.592701064012938,0.698099107822101,0.6941249035672449,0.6981037557915486,0.702052433489863,0.051004464285714285,0.050595238095238096,0.05099206349206349,0.051488095238095236
logistic_router,0.1,0.09642857142857143,0.09642857142857145,0.09642857142857143,0.09642857142857143,0.5845871773137175,0.5764126737266356,0.5829706992340259,0.5965994783569406,0.6977080441490098,0.6913948317824664,0.697766152035514,0.7048290963961221,0.051490079365079364,0.050694444444444445,0.05146329365079365,0.05228422619047619
logistic_router,0.15,0.14732142857142858,0.1473214285714286,0.14732142857142858,0.14732142857142858,0.5867824866782051,0.5772230684969041,0.5861878759814954,0.5986192668092009,0.6980456239425448,0.6907156496217247,0.6976446851257672,0.7056317984883402,0.051992063492063485,0.051135912698412694,0.0519593253968254,0.05273313492063492
